Max_Temp,Min_Temp,Rainfall,Relative_Humidity,Wind_Speed,Cloud_Coverage,Flood?
35.6,25.8,316.0,88.0,0.7,4.9,1.0
33.3,23.8,127.0,83.0,0.5,2.4,0.0
33.3,21.2,31.0,81.0,0.3,1.9,0.0
28.4,14.8,47.0,80.0,0.3,0.9,0.0
29.5,11.8,0.0,75.0,0.4,0.5,0.0
32.0,14.1,55.0,75.0,0.4,1.5,0.0
34.5,19.4,47.0,75.0,0.9,2.6,0.0
37.0,25.3,13.0,75.0,2.0,3.4,0.0
35.8,24.1,235.0,82.0,1.8,4.5,1.0
34.6,25.9,272.0,88.0,1.6,5.9,1.0
33.4,26.2,526.0,91.0,1.5,6.1,1.0
34.7,26.2,297.0,89.0,1.3,5.6,1.0
34.1,26.2,192.0,87.0,0.8,5.3,1.0
33.8,23.4,282.0,88.0,0.5,2.9,1.0
32.2,17.5,0.0,77.0,0.3,0.8,0.0
28.3,13.9,0.0,76.0,0.4,1.6,0.0
28.0,13.1,24.0,79.0,0.6,1.6,0.0
33.1,15.7,43.0,76.0,0.5,1.5,0.0
33.5,19.5,115.0,77.0,1.0,3.6,0.0
34.0,22.7,412.0,84.0,1.3,4.4,1.0
33.9,24.1,280.0,84.0,1.1,5.2,1.0
35.0,25.8,433.0,85.0,1.1,5.6,1.0
32.1,25.3,521.0,91.0,1.0,6.3,1.0
33.3,25.8,217.0,88.0,1.4,5.7,1.0
35.0,25.4,173.0,86.0,0.7,5.0,1.0
33.3,23.2,71.0,81.0,0.2,2.1,0.0
32.8,17.6,0.0,76.0,0.3,1.2,0.0
28.7,13.0,33.0,76.0,0.6,2.1,0.0
29.8,12.4,0.0,74.0,0.2,0.4,0.0
30.6,16.2,57.0,76.0,0.3,2.2,0.0
35.2,19.3,17.0,71.0,0.6,2.4,0.0
34.4,22.6,178.0,79.0,1.7,4.3,1.0
37.0,25.9,65.0,76.0,1.0,2.7,0.0
37.8,25.6,465.0,87.0,1.1,5.9,1.0
34.0,26.2,223.0,86.0,1.3,5.5,1.0
32.1,25.3,593.0,89.0,1.7,6.3,1.0
33.9,25.3,219.0,84.0,0.9,4.7,1.0
34.0,23.1,6.0,80.0,0.3,1.9,0.0
32.7,17.1,34.0,78.0,0.3,1.5,0.0
28.2,12.0,11.0,76.0,0.3,0.5,0.0
28.2,11.9,8.0,77.0,0.3,1.2,0.0
31.4,14.4,39.0,73.0,0.6,2.4,0.0
35.3,21.2,18.0,76.0,1.4,2.6,0.0
36.7,23.0,92.0,76.0,2.0,3.1,0.0
35.9,24.2,318.0,81.0,1.5,4.3,1.0
34.8,25.8,292.0,86.0,1.3,5.6,1.0
34.2,26.0,399.0,86.0,1.3,6.1,1.0
33.5,25.9,575.0,89.0,1.3,6.2,1.0
34.3,25.6,312.0,91.0,0.9,5.9,1.0
34.6,23.8,192.0,92.0,0.4,3.8,1.0
33.8,19.0,48.0,84.0,0.3,2.3,0.0
28.4,12.8,19.0,83.0,0.3,1.4,0.0
27.6,11.7,16.0,83.0,0.3,1.4,0.0
32.6,13.4,0.0,77.0,0.5,1.8,0.0
36.6,19.7,1.0,74.0,1.1,1.6,0.0
36.3,23.8,102.0,82.0,1.8,4.0,0.0
34.8,25.2,283.0,85.0,2.0,5.9,1.0
35.6,25.3,1025.0,90.0,1.3,7.2,1.0
32.8,24.9,448.0,90.0,1.3,6.9,1.0
35.2,25.6,431.0,90.0,1.1,7.1,1.0
34.0,25.1,224.0,88.0,0.8,5.1,1.0
34.0,24.4,118.0,89.0,0.5,4.2,1.0
31.5,16.6,0.0,83.0,0.2,0.9,0.0
29.5,13.0,1.0,84.0,0.4,1.4,0.0
30.2,12.6,1.0,84.0,0.2,1.4,0.0
31.4,14.3,2.0,77.0,0.6,1.1,0.0
36.7,22.4,45.0,81.0,1.8,3.6,0.0
36.6,24.6,64.0,81.0,1.9,4.7,0.0
35.0,24.2,226.0,88.0,1.7,5.1,1.0
36.2,25.8,322.0,91.0,1.5,6.3,1.0
34.5,25.3,291.0,93.0,1.5,6.8,1.0
35.0,25.9,308.0,90.0,1.5,6.7,1.0
34.6,25.4,180.0,90.0,1.0,5.9,1.0
34.5,22.8,198.0,86.0,0.5,2.5,1.0
32.0,17.6,8.0,85.0,0.3,1.6,0.0
30.0,13.4,0.0,84.0,0.2,0.7,0.0
29.5,11.5,6.0,86.0,0.3,1.4,0.0
32.0,14.7,0.0,81.0,0.3,1.5,0.0
38.4,20.4,7.0,75.0,0.8,1.2,0.0
35.4,23.2,102.0,80.0,1.7,4.5,1.0
36.8,23.7,181.0,83.0,0.7,3.7,1.0
36.0,25.9,254.0,87.0,1.3,5.7,1.0
35.5,25.2,381.0,91.0,0.8,6.4,1.0
35.2,26.0,252.0,87.0,0.8,5.9,1.0
35.0,24.8,526.0,92.0,0.6,6.1,1.0
33.0,22.7,135.0,88.0,0.2,3.3,1.0
33.5,19.3,274.0,88.0,0.2,2.7,1.0
29.5,14.3,1.0,88.0,0.1,1.4,0.0
29.2,12.0,4.0,84.0,0.3,0.6,0.0
33.3,14.8,3.0,80.0,0.2,1.4,0.0
37.2,19.9,8.0,77.0,0.9,2.9,0.0
37.5,23.7,150.0,82.0,1.5,4.2,1.0
36.6,24.6,96.0,82.0,0.9,3.7,0.0
39.6,26.6,275.0,85.0,1.5,5.7,1.0
33.8,25.4,568.0,94.0,0.9,7.0,1.0
34.0,25.4,683.0,90.0,0.9,6.4,1.0
34.0,26.0,302.0,89.0,0.6,6.0,1.0
34.2,23.7,93.0,86.0,0.1,2.1,0.0
32.5,19.6,37.0,84.0,0.2,2.7,0.0
29.0,14.1,0.0,83.0,0.1,1.3,0.0
28.0,12.1,0.0,81.0,0.2,0.5,0.0
31.0,15.6,22.0,79.0,0.3,1.6,0.0
35.2,21.1,65.0,77.0,0.7,3.0,0.0
37.0,24.3,96.0,79.0,1.1,4.0,0.0
34.5,25.5,393.0,84.0,1.4,5.6,1.0
34.6,25.4,565.0,88.0,1.2,6.0,1.0
33.5,25.9,422.0,90.0,1.3,6.5,1.0
32.4,26.2,459.0,91.0,1.3,7.1,1.0
35.0,25.9,228.0,88.0,0.5,5.7,1.0
33.5,23.5,101.0,87.0,0.3,3.2,0.0
31.5,18.9,113.0,86.0,0.6,2.5,0.0
29.4,15.5,0.0,84.0,0.2,0.7,0.0
27.1,10.2,0.0,79.0,0.3,0.3,0.0
31.6,15.7,14.0,75.0,0.6,0.9,0.0
36.2,19.9,1.0,70.0,0.7,2.0,0.0
